CDLI,Museum siglum,no.,Dillard pp.,CuReD text ID,CuReD translit ID,status,contents,sub-type,date,king,year,type,archive,city,scribe,scribe norm,scribe fam,scribe title,bibliography,text_name
https://cdli.ucla.edu/P460025,FLP ,1517,21-22,7918387,7090734395,done,Promissory note for reeds of the Ebabbar temple,Promissory note,Ssi020220,Ssi,2,Archival,Uncertain,Sippar,{m}{d}AG-mu-tir-gi-mil-lu/{m}{d}ŠEŠ.KI-ù-tu,Nabû-mutīr-gimilli//Nannûtu,Nannûtu,DUB.SAR,"Gross 2017, nabucco",FLP 1517
https://cdli.ucla.edu/P460026,FLP ,1518,23-28,3572001,1405216466,done,Real estate sale: house in Babylon,Purchase,Npl060412,Npl,6,Archival,Maštuk,Babylon,{m}{d}EN-PAB/{lú}GAL-DÙ,Bēl-nāṣir//Rab-bānê,Rab-bānê,UMBISAG,,FLP 1518
https://cdli.ucla.edu/P460027,FLP ,1519,29-31,7445307,9916942996,done,Record of the disposition of cattle and barley,Livestock,Npl090617,Npl,9,Admin,Eanna,n.a.,none,none,none,none,,FLP 1519
https://cdli.ucla.edu/P460028,FLP ,1520,32-34,1288048,3847536468,done,Garments for the gods,Cult,Npl170828,Npl,17,Admin,Eanna,n.a.,none,none,none,none,,FLP 1520
https://cdli.ucla.edu/P460030,FLP ,1522,35-36,1204568,9919958887,done,Loan of silver,Loan,Nbk070523,Nbk,7,Archival,Uncertain,Uruk,{m}{d}AG-KAR-ZI.MEŠ/{m}{d}AG-MU-GAR-un,Nabû-ēṭir-napšāti/Nabû-šum-iškun,n.a.,UMBISAG,,FLP 1522
https://cdli.ucla.edu/P460032,FLP ,1524,37-40,9612934,5944752841,done,Litigation over real estate (duplicate of FLP 1523),Litigation,Nbk070610,Nbk,7,Archival,Uncertain,Burāti,{m}{d}AG-MU-GIN/{lú}GAL-DÙ,Nabû-šum-ukīn//Rab-bānê,Rab-bānê,UMBISAG,,FLP 1524
https://cdli.ucla.edu/P460034,FLP ,1526,41,2027252,7234476342,done,Receipt for delivery of cattle,Receipt,Nbk110718,Nbk,11,Admin,Eanna,n.a.,none,none,none,none,,FLP 1526
https://cdli.ucla.edu/P460035,FLP ,1527,42-44,4331832,1139535995,done,Record of the testimony of witnesses,Record of testimony,Nbk120000,Nbk,12,Archival,Uncertain,Uruk,Missing,Missing,Missing,Missing,,FLP 1527
https://cdli.ucla.edu/P460036,FLP ,1528,45-47,7429001,7859887227,done,Promissory note of small cattle,Promissory note,Nbk140400?,Nbk,14,Archival,Eanna,Uruk,{m}LÚ-{d}AG/{m}{d}AG-xxx,Amīl-Nabû/Nabû-[…],n.a.,UMBISAG,,FLP 1528
https://cdli.ucla.edu/P460037,FLP ,1529,48,7420399,2622982004,done,Disposition of the corpse of a cow,Livestock,Nbk140626,Nbk,14,Admin,Eanna,n.a.,none,none,none,none,,FLP 1529
https://cdli.ucla.edu/P460038,FLP ,1530,49-51,7146766,6182887898,done,Litigation over cattle,Litigation,Nbk150305?,Nbk,15,Archival,Eanna,Uruk,{m}{d}INNIN-na-NUMUN-GÁL-ši/{m}TIN-su,Ištar-zēr-ušebši/Balāssu,(Damequ),UMBISAG,,FLP 1530
https://cdli.ucla.edu/P460039,FLP ,1531,52-54,2428192,3640076521,done,Contract for delivery of bricks,Contract,Nbk160613,Nbk,16,Archival,Eanna,Babylon,{d}AG-KAR-ZI.MEŠ/{m}{d}EN-A-URÙ,Nabû-ēṭir-napšāti//Bēl-apla-uṣur,Bēl-apla-uṣur,UMBISAG,,FLP 1531
https://cdli.ucla.edu/P460040,FLP ,1532,55-56,3030484,9903793835,done,Loan of barley,Loan,Nbk161227,Nbk,16,Archival,Uruk?,Babylon,{m}ÌR-{d}IN.NIN-ni/{m}{d}AG-ŠEŠ-MU,Arad-Ištar/Nabû-aḫa-iddin,n.a.,DUB.SAR,,FLP 1532
https://cdli.ucla.edu/P460041,FLP ,1533,57-63,7653786,8794512691,done,Real estate sale,Purchase,Nbk151213,Nbk,15,Archival,Nūr-Sîn,Babylon,{m}É-an-na-li-i-pi-URÙ/{m}Ri-mut/{m}{d}30-TI-ÉR,Eanna-līpī-uṣur/Rēmūtu//Sîn-leqe-unninnī,Sin-lēq-unninnī,UMBISAG,,FLP 1533
https://cdli.ucla.edu/P460042,FLP ,1534,64-65,8961749,3243453835,done,"Delivery of ducks",Birds,Nbk200607,Nbk,20,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1534
https://cdli.ucla.edu/P460044,FLP ,1536,66-68,8983493,8619674197,done,Contract for delivery of bricks,Contract,Nbk210317,Nbk,21,Archival,Eanna,Uruk,{m}{d}IDIM-DÙ-NUMUN/{m}Tab-né-e-a/{lú}ŠU.ḪA,Ea-bān-zēri/Tabnēa//Bāʾiru,Bāʾiru,UMBISAG,,FLP 1536
https://cdli.ucla.edu/P460045,FLP ,1537,69-70,6350842,5991791211,done,Wages paid corvee laborers,Wages,Nbk221010,Nbk,22,Admin,Eanna,n.a.,none,none,none,none,,FLP 1537
https://cdli.ucla.edu/P460046,FLP ,1538,71-72,1016178,9359189396,done,Receipt of baked goods for festival,Receipt,Nbk230501,Nbk,23,Admin,Eanna,n.a.,none,none,none,none,,FLP 1538
https://cdli.ucla.edu/P460047,FLP ,1539,73-74,2449131,1110252718,done,Travel provisions,Wages,Nbk231011,Nbk,23,Admin,Eanna,n.a.,none,none,none,none,"Jankovic, Travel provisions",FLP 1539
https://cdli.ucla.edu/P460048,FLP ,1540,75-76,3674538,7472706780,done,Disposition of various amounts of barley,Agriculture,Nbk250711,Nbk,25,Admin,Eanna,n.a.,none,none,none,none,,FLP 1540
https://cdli.ucla.edu/P460049,FLP ,1541,77-79,1095566,9925264405,done,Sale of a slave,Purchase,Nbk270716,Nbk,27,Archival,Uncertain,Uruk,{m}{d}IN.NIN-NUMUN-GÁL-ši/{m}TIN-su,Ištar-zēr-ušebši/Balāssu,(Damequ),UMBISAG,,FLP 1541
https://cdli.ucla.edu/P460053,FLP ,1545,80-82,9048239,986015290,done,Transfer of a debt,Transfer,Nbk340205+,Nbk,34,Archival,Eanna,Uruk,{m}MU-{d}AG/{m}GAR-MU/{m}ŠU-{d}Na-na-a,Iddin-Nabû/Šākin-šumi//Gimil-Nanāya,Gimil-Nanāya,UMBISAG,,FLP 1545
https://cdli.ucla.edu/P460054,FLP ,1546,83-85,8338059,7761162863,done,Loan of barley,Loan,Nbk341225,Nbk,34,Archival,Eanna,Uruk,{m}{d}UTU-MU-MU/{m}{d}AG-TIN-su-E/{m}{d}30-TI-ÉR,Šamaš-šum-iddin/Nabû-balāssu-iqbi//Sîn-leqe-unninī,Sin-lēq-unninnī,UMBISAG,,FLP 1546
https://cdli.ucla.edu/P460055,FLP ,1547,86-87,1505008,7312500048,done,Loan of silver,Loan,Nbk370222,Nbk,37,Archival,Eanna,Uruk,{m}MU-{d}AG/{m}GAR-MU/{m}ŠU-{d}Na-na-a,Iddin-Nabû/Šākin-šumi//Gimil-Nanāya,Gimil-Nanāya,UMBISAG,,FLP 1547
https://cdli.ucla.edu/P460056,FLP ,1548,88,4179245,9568787387,done,Wages paid carpenters,Wages,Nbk360706,Nbk,36,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1548
https://cdli.ucla.edu/P460057,FLP ,1549,89-90,5563967,8559056402,done,Loan of silver,Loan,Nbk381211,Nbk,38,Archival,Uncertain,Uruk,{m}Gi-mil-lu/{m}NÍG.DU/{m}LÚ-[…],Gimillu/Kudurru//Amīl-[…],Amīl-[…],UMBISAG,,FLP 1549
https://cdli.ucla.edu/P460058,FLP ,1550,91-93,3289080,2428345137,done,Receipt for aromatics and spices,Receipt,Nbk390213,Nbk,39,Admin,Eanna,n.a.,none,none,none,none,,FLP 1550
https://cdli.ucla.edu/P460059,FLP ,1551,94-96,6169662,8941803213,done,Promissory note for salt and wool,Promissory note,Nbk390521,Nbk,39,Archival,Eanna,Uruk,{m}Ba-la-[ṭu]/{m}ÌR-{d}AG/{lú}Ì.ŠUR-[gi-ne-e],Balāṭu/Arad-Nabû//Ṣāḫit-ginê,Ṣāḫit-ginê,UMBISAG,Kleber 2017: 83,FLP 1551
https://cdli.ucla.edu/P460060,FLP ,1552,97-99,5376843,7342243478,done,Sale of a slave,Purchase,Nbk400217,Nbk,40,Archival,Uncertain,Babylon,{m}{d}AG-SIG₅-iq/{m}Kur-ban-nu-{d}AMAR.UTU/{lú}SANGA-{d}UTU,Nabû-udammiq/Kurbanni-Marduk//Šangû-Šamaš,Šangû-Šamaš,UMBISAG,,FLP 1552
https://cdli.ucla.edu/P460062,FLP ,1554,100-101,8985168,220439521,done,Promissory note of wool,Promissory note,Nbk410705,Nbk,41,Archival,Uncertain,Sippar,{m}NUMUN-E.KI/{m}{d}EN-A-URÙ,Zēr-Bābili/?/Bēl-apla-uṣur,Bēl-apla-uṣur,UMBISAG,,FLP 1554
https://cdli.ucla.edu/P460063,FLP ,1555,102-104,6502423,9220969802,done,Loan of silver,Loan,Nbk430322,Nbk,43,Archival,Uncertain,Uruk,{m}ÌR-ia/{m}{d}AG-ŠEŠ.ME-GI,Ardiya/Nabû-aḫḫē-šullim,n.a.,UMBISAG,,FLP 1555
https://cdli.ucla.edu/P460064,FLP ,1556,105,9288100,6421819740,done,Promissory note of vats,Promissory note,Nbk430522,Nbk,43,Archival,Maštuk,Sippar,{m}{d}UGUR-MU/{m}Na-din/{m}Šá-ta-ri-in-di,Nergal-iddin/Nadin//Šatarindi?,Šatarindi,UMBISAG,,FLP 1556
https://cdli.ucla.edu/P460066,FLP ,1558,106-107,6385694,2825574666,done,Promissory note of dates,Promissory note,Ner011001,Ner,1,Archival,Uncertain,Uruk,{m}Ba-la-ṭu/{m}ÌR-{d}AG/{lú}Ì.ŠUR-gi-ne-e,Balāṭu/Arad-Nabû//Ṣāḫit-ginê,Ṣāḫit-ginê,UMBISAG,,FLP 1558
https://cdli.ucla.edu/P460067,FLP ,1559,108-110,7693120,443154009,done,Barley to be paid for loan of dates,Promissory note,Ner000900,Ner,0,Archival,Eanna,n.a.,{m}Na-din/{m}{d}EN-ŠEŠ.MEŠ-BA-šá/{m}Egibi,Nādinu/Bēl-aḫḫē-iqīša//Egibi,Egibi,UMBISAG,,FLP 1559
https://cdli.ucla.edu/P460068,FLP ,1560,111-112,7624320,4597246505,done,Sesame to be paid for loan of wool,Promissory note,Nbn030518,Nbn,3,Archival,Eanna,Uruk,[{m}Šu]-ma-a/{m}DÙ-{d}INNIN/{lú}AZALAG,Šumāya/Ibni-Ištar//Ašlāku,Ašlāku,Missing,,FLP 1560
https://cdli.ucla.edu/P460069,FLP ,1561,113-115,6333840,1260724476,done,Promissory note of dates,Promissory note,Nbn030628,Nbn,3,Archival,Eanna,Bīt-Dakuru,{m}KI-{d}UTU-TIN/{m}{d}AG-NUMUN-GIN,Itti-Šamaš-balāṭu/Nabû-zēr-ukīn,n.a.,UMBISAG,,FLP 1561
https://cdli.ucla.edu/P460070,FLP ,1562,116,2238695,8396136350,done,Record of income,Income,Nbn050418,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1562
https://cdli.ucla.edu/P460071,FLP ,1563,117-119,1026378,6012267491,done,Contract for rental of house,Lease,Nbn050423,Nbn,5,Archival,Uncertain,Sippar,{m}ÌR-{d}IN.NIN-ni/{m}{d}AG-ŠEŠ.MEŠ-MU,Arad-Ištar/Nabû-aḫa-iddin,n.a.,UMBISAG,,FLP 1563
https://cdli.ucla.edu/P460073,FLP ,1565,120,4970849,5141934278,done,Promissory note of silver,Promissory note,Nbn050506,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1565
https://cdli.ucla.edu/P460074,FLP ,1566,121-122,6867410,5912000391,done,Silver paid for cattle and bricks,Livestock,Nbn050508,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1566
https://cdli.ucla.edu/P460075,FLP ,1567,123,6867410,6137822024,done,Sale of bronze (trade),Trade,Nbn050512,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1567
https://cdli.ucla.edu/P460076,FLP ,1568,124,8012892,6979800121,done,Sale of salt,Trade,Nbn050519,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1568
https://cdli.ucla.edu/P460079,FLP ,1571,125-126,1316633,5100502230,done,Sale of iron and limestone,Trade,Nbn051121,Nbn,5,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1571
https://cdli.ucla.edu/P460081,FLP ,1573,127,6579849,7484979325,done,Receipt for payment of a debt,Receipt,Nbn070520,Nbn,7,Admin,Eanna?,n.a.,none,none,none,none,,FLP 1573
https://cdli.ucla.edu/P460082,FLP ,1574,128-129,2247041,8553758385,done,Sale of a slave,Purchase,Nbn070901,Nbn,7,Archival,Arkât-ili,Elammu,{m}Ba-laṭ-su/{m}{d}AG-PAP,Balāssu/Nabû-nāṣir,n.a.,UMBISAG,,FLP 1574
https://cdli.ucla.edu/P460083,FLP ,1575,130-131,4316457,278359284,done,Wages paid for work on the bīt akītu,Wages,Nbn071006,Nbn,7,Admin,Eanna,n.a.,none,none,none,none,"Kleber 2008: 175, 177",FLP 1575
https://cdli.ucla.edu/P460084,FLP ,1576,132,9942219,8359809248,done,Wages paid in contract for canal maintenance,Wages,Nbn071128,Nbn,7,Admin,Eanna,n.a.,none,none,none,none,Ed. Kleber 2008: 178; Adad-Gate Canal work,FLP 1576
https://cdli.ucla.edu/P460086,FLP ,1578,133-134,3079775,5332345094,done,Loan of silver,Loan,Nbn080209,Nbn,8,Archival,Arkât-ili,Elammu,{m}NÍG.BA-{d}ŠÚ/{m}{d}AG-NUNUZ-ÙRU/{lú}GÍR.LAL,Iqīša-Marduk/Nabû-pirˀu-uṣur//Ṭābiḫu,Ṭābiḫu,UMBISAG,,FLP 1578
https://cdli.ucla.edu/P460088,FLP ,1580,135,3293957,8532589834,done,Sale of sesame,Agriculture,Nbn080418,Nbn,8,Admin,Eanna?,n.a.,none,none,none,none,,FLP 1580
https://cdli.ucla.edu/P460089,FLP ,1581,136-137,8168726,4764051489,done,Disposition of cattle,Livestock,Nbn080517,Nbn,8,Admin,Eanna?,n.a.,none,none,none,none,,FLP 1581
https://cdli.ucla.edu/P460090,FLP ,1582,138-139,4178893,3313356315,done,Transfer of debt of silver,Promissory note,Nbn080716,Nbn,8,Archival,Arkât-ili,Elammu,{m}{d}AG-MU-GAR-un/{m}Ṣil-la-a,Nabû-šum-iškun/Ṣillāya,n.a.,DUB<.SAR>,,FLP 1582
https://cdli.ucla.edu/P460091,FLP ,1583,140-141,7103825,3573646458,done,Contract for canal maintenance,Contract,Nbn090922,Nbn,9,Archival,Eanna,Bīt-šabaˀi-il,{m}Šu-ma-a/{m}DÙ-{d}INNIN/{lú}AZALAG,Šumāya/Ibni-Ištar//Ašlāku,Ašlāku,UMBISAG,Ištar canal dossier,FLP 1583
https://cdli.ucla.edu/P460092,FLP ,1584,142-146,6519794,9519027173,done,Litigation regarding the theft of sheep,Litigation,Nbn100304,Nbn,10,Archival,Eanna,Uruk,{m}Gi-mil-lu/{m}{d}AG-MU-MU/{m}ŠU-{d}Na-na-a,Gimillu/Nabû-šum-iddin//Gimil-Nanāya,Gimil-Nanāya,UMBISAG,Kleber 2008: 211n.596,FLP 1584
https://cdli.ucla.edu/P460093,FLP ,1585,147-148,1389522,5655542568,done,Promissory note to the Eanna temple,Promissory note,Nbn010614,Nbn,1,Archival,Eanna,Bīt-pirišti,{m}NÍG.GUB-nu/{m}{d}EN-MU,Kudurrānu/Bēl-iddin,n.a.,UMBISAG,,FLP 1585
https://cdli.ucla.edu/P460094,FLP ,1586,149-150,3111484,422881001,done,Receipt for payment of a debt,Receipt,Nbn106b09,Nbn,10,Archival,Maštuk?,Sippar,{m}{d}EN-TIN-iṭ/{m}BA-šá-a/{lú}Ì.ŠUR,Bēl-uballiṭ/Iqīšāya//Ṣāḫit-ginê,Ṣāḫit-ginê,UMBISAG,,FLP 1586
https://cdli.ucla.edu/P460095,FLP ,1587,151,8418546,7658270946,done,Fragmentary,Fragmentary,Nbn106b18?,Nbn,10,Uncertain,Uncertain,Missing,none,none,none,none,,FLP 1587
https://cdli.ucla.edu/P460096,FLP ,1588,152,5793207,9247004690,done,Record of wages paid to workmen,Wages,Nbn106b26,Nbn,10,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1588
https://cdli.ucla.edu/P460097,FLP ,1589,153-155,6413590,5962641649,done,Sale of a slave,Purchase,Nbn100616,Nbn,10,Archival,Uncertain,Sippar,{m}Šá-du-nu/{m}{d}AG-KAR-ZI.MEŠ/{m}Ba-bu-tú,Šadûnu/Nabû-ēṭir-napšāti//Bābūtu,Bābūtu,UMBISAG,,FLP 1589
https://cdli.ucla.edu/P460098,FLP ,1590,156-157,9586689,5637136065,done,Sale of Cimmerian bows,Trade,Nbn100721,Nbn,10,Admin,Eanna?,n.a.,none,none,none,none,,FLP 1590
https://cdli.ucla.edu/P460099,FLP ,1591,158,3816791,4044163108,done,Record of wages paid to workmen for labor in the Ebabbar of Larsa,Wages,Nbn101016,Nbn,10,Admin,Eanna,n.a.,none,none,none,none,Kleber 2008: 180,FLP 1591
https://cdli.ucla.edu/P460100,FLP ,1592,159,6834595,6069367133,done,Record of income used to purchase sackcloth,Income,Nbn110310,Nbn,11,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1592
https://cdli.ucla.edu/P460101,FLP ,1593,160,2125923,3021768910,done,Record of wages paid workmen,Wages,Nbn110324?,Nbn,11,Admin,Eanna?,n.a.,none,none,none,none,,FLP 1593
https://cdli.ucla.edu/P460102,FLP ,1594,161-163,8746129,310715840,done,Promissory note for iron brazier ,Promissory note,Nbn130914,Nbn,13,Archival,Uncertain,Sippar,{m}{d}U.GUR-GI/{d}Na-din,Nergal-ušallim/Nādinu,n.a.,UMBISAG,,FLP 1594
https://cdli.ucla.edu/P460103,FLP ,1595,164-165,7713571,4712152405,done,Income of the king received at the Ebabbar temple,Income,Nbn131203,Nbn,13,Admin,Ebabbar?,Sippar?,none,none,none,none,,FLP 1595
https://cdli.ucla.edu/P460105,FLP ,1597,166-167,8298014,6934759693,done,Litigation regarding title to a slave,Litigation,Nbn160409,Nbn,16,Archival,Maštuk,Babylon,<PN>/{m}{d}EN-TIN-iṭ/{m}TIN-su-[x],<PN>/Bēl-uballiṭ//Uballissu-[DN],Uballissu-[DN],DUB.SAR,,FLP 1597
https://cdli.ucla.edu/P460106,FLP ,1598,168,4606019,1956634046,done,Disposition of cattle,Livestock,Nbn150828,Nbn,15,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1598
https://cdli.ucla.edu/P460108,FLP ,1600,169,4930294,2567171821,done,Loan of barley,Loan,Nbn150000,Nbn,15,Archival,Bēl-eṭēri-Šamaš,Bīt-Abdaˀ,Šu-la?-a,Šumāya/Balāssu//Šangû-parakki,(Šangû-parakki),Missing,Jursa 2005b: 212,FLP 1600
https://cdli.ucla.edu/P460109,FLP ,1601,170-171,6073070,9765263956,done,Record of the testimony of witnesses,Record of testimony,Nbn160502,Nbn,16,Archival,Uncertain,Uruk,{m}Gi-mil-lu/{m}{d}IN.NIN-NUMUN-MU,Gimillu/Ištar-zēr-iddin,n.a.,UMBISAG,,FLP 1601
https://cdli.ucla.edu/P460110,FLP ,1602,172-174,9674321,5854659793,done,Contract for payment of a loan,Contract,Nbn160824,Nbn,16,Archival,Maštuk,Sippar,{m}{d}EN-TIN-iṭ/{m}BA-šá-a/{lú}ŠUR-gi-ne-e,Bēl-uballiṭ/Iqīšāya//Ṣāḫit-ginê,Ṣāḫit-ginê,UMBISAG,,FLP 1602
https://cdli.ucla.edu/P460111,FLP ,1603,175-177,7104718,325315146,done,Contract for payment of rent,Lease,Nbn161102,Nbn,16,Archival,Uncertain,Uruk?,{m}{d}AG-[mu-še-tiq]-UD.DA/{m}La-ba-ši-{d}ŠÚ//{m}E-gì-bi,Nabû-mušētiq-uddi/Lâbâši-Marduk//Egibi,Egibi,Missing,,FLP 1603
https://cdli.ucla.edu/P460112,FLP ,1604,178-179,6284910,4102082917,done,Record of a loan of silver and barley,Loan,Nbn161213,Nbn,16,Archival,Uncertain,Sippar,{m}KI-{d}AG-TIN/{m}{d}UTU-ZI-tì-URÙ/{m}ZÁLAG-{d}Pap-šukkal,Itti-Nabû-balāṭu/Šamaš-napištu-uṣur//Nūr-Papšukkal,Nūr-Papšukkal,UMBISAG,,FLP 1604
https://cdli.ucla.edu/P460113,FLP ,1605,180-182,1366536,3833993191,done,Rental contract,Lease,Nbn160027,Nbn,16,Archival,Uncertain,Kār-Nanāya,{m}{d}UTU-NUMUN-GAL-ší/{m}{d}U.GUR-ina-ŠÙH-SUR/[{m}Dan]-ni-e-a,Šamaš-zēr-ušebši/Nergal-ina-tēšî-ēṭir//Dannēa,Dannēa,UMBISAG,,FLP 1605
https://cdli.ucla.edu/P460114,FLP ,1606,183-184,2087970,7753550171,done,Promissory note of silver,Promissory note,Nbn170227,Nbn,17,Archival,Bēl-eṭēri-Šamaš,Nippur,{m}{d}50-BA.TI.LA/{m}Pir-ʾu,Enlil-ubaliṭ/Pirˀu,n.a.,UMBISAG,,FLP 1606
https://cdli.ucla.edu/P460115,FLP ,1607,185-187,3885320,5235659410,done,Division of business partnership capital,Commercial partnership,Nbn071223,Nbn,7,Archival,Arkât-ili,Elammu,{m}BA-šá-{d}AMAR.UTU/{m}{d}AG-NUNUZ-URÙ,Iqīša-Marduk/Nabû-pirˀu-uṣur//Ṭābiḫu,Ṭābiḫu,UMBISAG,,FLP 1607
https://cdli.ucla.edu/P460117,FLP ,1609,188-189,1657132,2192961682,done,Receipt for gold jewelry of Urkayītu,Receipt,[RN]031103,Missing,3,Admin,Eanna,Uruk,none,none,none,none,,FLP 1609
https://cdli.ucla.edu/P460118,FLP ,1610,190,1478474,2748685709,done,Receipt for iron,Receipt,[RN]070622,Missing,7,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1610
https://cdli.ucla.edu/P460119,FLP ,1611,191,1005804,3591520596,done,Receipt for flour,Receipt,[RN]080502,Missing,8,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1611
https://cdli.ucla.edu/P460120,FLP ,1612,192,3434161,1534536678,done,Payment for canal maintenance,Infrastructure,[Nbn]080521,Missing,8,Admin,Eanna,n.a.,none,none,none,none,,FLP 1612
https://cdli.ucla.edu/P460121,FLP ,1613,193-194,3460434,500092701,done,Garments for the gods,Cult,[RN]091220,Missing,9,Admin,Uncertain,UBARA.KI,none,none,none,none,,FLP 1613
https://cdli.ucla.edu/P460127,FLP ,1619,195,2129890,7976028635,done,Record of wages paid to workmen,Wages,Missing,Missing,Missing,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1619
https://cdli.ucla.edu/P460132,FLP ,1624,196,9201393,3836999427,done,Account tablet,Account,Missing,Missing,Missing,Admin,Uncertain,n.a.,none,none,none,none,,FLP 1624
